Timestamp,Issue_Key,Issue_Type,Status,Priority,Assignee,Reporter,Story_Points,Resolution_Time,Comments_Count
17-05-2024 17:54,Ca-5290,Task,Resolved,Medium,Marc Harris,Amanda Gill,1,14,11
15-05-2024 23:43,FD-2758,Task,Open,Medium,Christopher Gentry,Victoria Ritter,1,9,3
14-05-2024 12:47,HV-4300,Bug,In Progress,Medium,Katherine Blair,Kathy Salas,6,10,0
10-05-2024 06:33,Er-9391,Story,In Progress,High,Teresa Hayes,Jennifer Williams,5,30,9
10-05-2024 13:02,lZ-0552,Task,Open,Low,Brooke Howard,Phillip Weeks,3,68,19
10-05-2024 18:24,wU-6356,Bug,Closed,Low,Edward Gonzalez,Maria Burns,1,28,4
12-05-2024 15:49,sO-6466,Bug,Closed,Low,Matthew Martin,Nichole Payne,5,37,1
18-05-2024 11:33,mj-0245,Bug,Closed,High,Alyssa King,Aaron Bryant,1,44,19
12-05-2024 04:38,Vp-3483,Story,Resolved,Medium,Brianna Obrien,Cameron Davis,5,91,20
13-05-2024 21:09,lP-7347,Task,Closed,Low,Ashley Cox,Kenneth Wolf,9,79,15
16-05-2024 08:55,tt-5466,Bug,Resolved,Low,Amber Thompson,Patricia Fields,4,74,11
18-05-2024 04:42,Gn-1658,Story,In Progress,Medium,Maria Turner,David Patrick,9,39,17
17-05-2024 01:36,nh-2131,Story,Resolved,High,Brenda Yates,Jennifer Allen,3,10,0
12-05-2024 09:34,xX-7097,Task,Closed,Medium,Mr. Gregory Pitts,Scott Moyer,3,40,6
13-05-2024 20:59,hJ-8770,Task,Resolved,Medium,Joseph Rodriguez,William Patrick,7,49,12
09-05-2024 02:37,PF-4100,Story,Resolved,High,Erica Golden,Alexis Moore,8,9,13
08-05-2024 20:20,bb-8609,Bug,Resolved,High,Dylan Taylor,Patricia Rogers,2,77,1
12-05-2024 04:33,vU-4351,Task,Resolved,Medium,Chad Robertson MD,Randall Taylor,9,94,12
18-05-2024 03:32,IV-2172,Task,Closed,Low,Michael Mason,Wendy Huang,9,8,13
12-05-2024 22:00,TH-7897,Story,Open,Low,Marcus Conner,Brian Smith,5,99,5
09-05-2024 16:06,Fk-1381,Story,Closed,Medium,Roy Brock,Amanda Gibson MD,10,42,12
10-05-2024 18:02,YC-3811,Bug,Resolved,High,Richard Carlson,Ashley Miller,4,50,12
10-05-2024 12:47,AU-0224,Story,Resolved,High,Justin Parks,Pamela Matthews,3,2,17
17-05-2024 11:04,Gq-4675,Task,Closed,High,Patrick Hill,Michele King,2,14,15
13-05-2024 14:18,GO-3757,Story,In Progress,Low,Drew Shannon,Steven Jones,3,82,20
15-05-2024 07:04,XL-4766,Story,Resolved,Low,Nathan Wolf,Christina Barrett,1,80,6
12-05-2024 16:27,Xx-4368,Task,In Progress,Medium,Jeffrey Watson,Briana Greer,3,1,13
16-05-2024 12:35,QC-8173,Bug,In Progress,Low,Dawn Berger,Michael Ramirez,10,23,19
17-05-2024 00:08,rX-8688,Task,In Progress,High,Jacqueline Mullins,Sarah Reynolds,5,33,9
16-05-2024 16:32,Li-1307,Story,In Progress,Medium,Debra Pearson,Michael Swanson,10,58,14
09-05-2024 14:29,Te-6531,Task,Resolved,Low,Grace Cook,Carrie Bishop,5,59,8
14-05-2024 11:27,nC-4330,Story,Closed,Medium,Kenneth Petersen,Christopher Mcintosh,1,68,2
09-05-2024 07:34,YD-9994,Bug,Resolved,High,Jose Harris,Eric Hughes,3,63,5
15-05-2024 03:37,SG-3665,Task,Closed,Medium,Johnathan Ward,Jason Taylor,7,65,18
11-05-2024 01:36,kt-8477,Bug,Open,Medium,Bryan Callahan,Patricia Carter,7,40,16
15-05-2024 12:22,Pg-3229,Story,Closed,Medium,Kim Price,Lisa Walsh,1,66,12
13-05-2024 16:06,zA-1967,Story,Resolved,High,Lori Floyd,Timothy Cunningham,8,50,4
15-05-2024 23:42,xg-1046,Story,Closed,Low,Javier Schaefer,Teresa Pugh,8,30,3
15-05-2024 14:24,cu-6993,Story,Resolved,Medium,Robert Nguyen,William Moss,7,85,4
09-05-2024 00:28,bL-0733,Bug,Open,Low,Michael Lee,Mark Miranda,8,90,17
16-05-2024 19:06,aL-0999,Task,Closed,High,Chloe Diaz,Lisa Bryant,5,30,3
17-05-2024 00:44,NX-2626,Bug,Closed,High,Samantha Murillo,Michael Evans,2,73,13
13-05-2024 13:02,Fs-8027,Task,Open,Medium,George Rodriguez,Miguel Lopez,4,84,11
14-05-2024 08:51,CW-1487,Story,Closed,Low,Margaret Roberts,Molly Jones,1,44,9
16-05-2024 05:29,GO-1108,Task,Closed,High,Carlos Hubbard,Kyle Harrison,1,76,11
12-05-2024 12:38,qS-5969,Bug,Resolved,Low,Grace Bailey,Dylan Bowers,9,41,7
14-05-2024 09:46,zb-8378,Story,Resolved,High,Frank Farley,Mark Payne,5,18,10
10-05-2024 01:11,SO-1733,Story,In Progress,Medium,Laura Edwards,Mr. Nathan Cook,2,15,1
09-05-2024 14:05,Rp-7726,Bug,Closed,High,Jason Green,Jeffrey Powell,6,21,11
18-05-2024 01:49,dB-3094,Bug,Resolved,High,Angela Aguilar,Leslie Key,3,11,17
18-05-2024 05:07,zY-6071,Bug,Open,High,Krista Williams,Matthew Evans,3,67,16
15-05-2024 23:39,fh-7468,Bug,Resolved,High,Ryan Wood,Michele Williams,5,6,19
14-05-2024 03:03,aG-3555,Bug,Closed,Medium,Stephanie Berg,Amy Oliver,2,45,14
15-05-2024 21:02,HE-9507,Story,Closed,Low,Rebecca Li,Theresa Johnson,5,37,17
14-05-2024 02:04,ik-3454,Story,In Progress,Medium,Heather Williams,Nancy Massey,2,37,9
08-05-2024 22:38,Kz-0502,Task,In Progress,Low,Keith Green,Shaun Booker MD,10,45,14
09-05-2024 12:52,hs-2646,Bug,Open,High,Heather Gibson,Sharon Elliott,4,13,2
13-05-2024 16:09,cp-5195,Story,Open,Low,Frank Williams,Robert Paul,8,56,1
13-05-2024 12:50,jL-8466,Task,Closed,Low,John Banks,Ryan Cruz,10,51,5
15-05-2024 02:13,ZY-9221,Bug,Closed,Low,Natalie Webster,Justin Harrison,4,83,16
09-05-2024 09:18,dW-9574,Task,Closed,High,Dr. Mary Mitchell,Cynthia Johnson,10,18,17
09-05-2024 06:25,Cr-7539,Bug,Open,Medium,James White,Tina Wallace,2,11,12
16-05-2024 10:23,uB-6347,Task,In Progress,Medium,Joshua Allen,William Sanchez,8,6,4
17-05-2024 03:26,lS-7904,Task,In Progress,Low,Karen Larson,Jesse Bates,6,31,5
09-05-2024 21:16,KZ-5101,Task,Open,Medium,Elizabeth Young,Paula Sparks,10,7,12
12-05-2024 13:35,aP-7503,Story,Resolved,Medium,Michaela Fernandez,Christopher Ramirez,8,61,20
09-05-2024 02:03,fi-1785,Task,Open,Medium,Monica Thomas,Bryan Richardson,2,84,19
16-05-2024 10:16,pd-3554,Bug,Closed,High,Caitlin Fitzgerald,Michael Young,4,76,2
15-05-2024 05:48,xO-4594,Bug,Open,Medium,Brian Blake,Paige Smith,9,36,17
16-05-2024 23:03,YV-7222,Bug,Open,Low,Shawn Lawrence,Richard Mccarthy,4,57,6
10-05-2024 15:36,MA-9151,Bug,Resolved,Low,Erica Morris,Donald Bailey,4,76,8
18-05-2024 03:55,PR-1684,Bug,Closed,Medium,Robert Burton,Crystal Williams,6,6,19
13-05-2024 06:48,ho-6020,Bug,Resolved,High,Jeffrey Bridges,Michael Butler,2,38,18
17-05-2024 06:32,BA-5679,Task,Resolved,Low,Tony Morgan,John Richardson,2,53,12
16-05-2024 08:19,Ek-2452,Task,Open,Medium,Marcus Watson,Dr. Robert Williams,9,4,19
12-05-2024 23:34,QM-8958,Bug,Open,Low,John Campbell,Charles Graves,5,47,19
17-05-2024 18:57,Bx-1562,Task,Open,High,Stephanie Wilson,Sandra Johnson,9,54,13
13-05-2024 02:05,sF-1370,Bug,Resolved,Low,Kimberly Weaver,Nicole Hoffman,8,53,19
18-05-2024 14:08,Nq-0736,Story,Resolved,High,Nicole Cervantes,Jennifer Andrews,5,49,13
12-05-2024 16:38,mj-2840,Bug,Closed,High,Rachel Duarte,Christopher Wilson,3,84,7
13-05-2024 18:15,fq-2070,Task,Resolved,Low,Joseph Watson,Stephanie Kramer,8,57,15
10-05-2024 10:37,MK-6339,Task,Open,Medium,Nicole Abbott,Brandon Martin,6,18,19
10-05-2024 23:43,il-1770,Bug,Open,High,Elizabeth Mcgee MD,Mario Perry,2,7,7
12-05-2024 16:04,xY-9051,Story,In Progress,Low,Kiara Robinson,Michael Gutierrez,9,67,11
10-05-2024 22:55,QA-4124,Story,Resolved,High,Colin Lewis,James Mcbride,3,27,11
13-05-2024 17:56,oO-8546,Task,Resolved,Medium,Christopher Santana,Thomas Mills,7,26,3
13-05-2024 15:00,IX-5354,Story,Open,High,Ricky Green,William Ramirez,9,90,17
15-05-2024 08:05,sH-5971,Bug,Closed,Low,Zachary Good,Krista Howard,1,94,4
15-05-2024 09:43,xh-8393,Bug,Resolved,High,George Guzman,Jason Graves,5,63,5
14-05-2024 17:01,PB-4979,Task,Resolved,High,Thomas Lewis,Dana Wilson,3,2,18
12-05-2024 13:11,Ub-8516,Bug,In Progress,Medium,Austin Watkins,Brandon Johnson,9,1,15
09-05-2024 00:33,CF-9287,Task,Resolved,Low,Latoya Figueroa,Louis Santos,10,92,0
08-05-2024 19:25,xV-9239,Story,Resolved,Medium,Spencer Peterson,Alec Andrade,8,5,18
17-05-2024 10:03,rf-2911,Task,Resolved,High,Scott Gonzalez,Colin Tucker,10,8,16
17-05-2024 23:29,TD-1506,Story,Open,High,Kylie Figueroa,Zachary Clark,9,82,5
13-05-2024 02:29,fv-5331,Task,Closed,Low,Carly Walker,Sandra Cook,2,51,20
12-05-2024 13:38,xT-8369,Task,Resolved,High,Mark Brown,Mark Schultz,1,3,15
14-05-2024 19:50,Kt-0741,Story,Closed,High,Mark Martin,Lauren Carter,7,26,20
17-05-2024 21:57,fQ-0281,Story,Resolved,Medium,Thomas Jimenez,Rebecca Robertson,3,99,17
10-05-2024 00:09,nU-0347,Bug,Closed,Low,Tammy Vaughn,Laura Harris,8,72,12
10-05-2024 22:42,da-5664,Task,In Progress,Medium,Paul Murphy,Tyler Suarez,8,13,2
18-05-2024 15:25,gj-0388,Story,Open,Low,Mark Weaver,Michelle Melendez,5,81,18
15-05-2024 04:54,RC-5186,Story,In Progress,Low,Heather Liu,Diane Wright,2,56,1
16-05-2024 19:24,ui-8721,Bug,Resolved,High,Erica Romero,Desiree Velazquez,7,88,16
10-05-2024 15:59,OD-0708,Story,Resolved,Medium,Deanna Pham,Kelli Fuller,9,30,17
14-05-2024 11:15,fQ-7213,Bug,In Progress,Low,Jonathan Carey,Zachary Savage,2,30,20
10-05-2024 20:38,Ta-5114,Bug,Open,High,Angela Mccarthy,Edward Gilbert,1,53,0
13-05-2024 08:52,NU-9046,Story,In Progress,Low,Michael Horton,Michael Valdez,5,97,5
09-05-2024 16:26,op-7040,Story,Resolved,Medium,Michelle Taylor,Edward Forbes,3,93,6
16-05-2024 13:39,GS-1198,Story,Open,High,Shane Monroe,Matthew Vazquez,6,31,17
16-05-2024 10:21,WC-9372,Bug,Resolved,High,Brandon Baker,Ricky Hayes,2,82,5
10-05-2024 02:31,QM-5983,Task,In Progress,High,Grace Fields,Louis Ellison,7,29,15
15-05-2024 21:46,mc-1348,Story,Open,Medium,Erin Gomez,Daniel Gillespie,10,25,18
10-05-2024 23:11,Uk-2069,Bug,In Progress,Medium,Ellen Salas,Jenna Morrison,2,58,0
11-05-2024 14:03,Wn-0643,Task,In Progress,Medium,Kayla Parker,David Anderson,7,6,6
09-05-2024 08:51,NN-7957,Bug,In Progress,Medium,Chase Roth,Stacy Glass,1,79,16
13-05-2024 13:39,JF-3034,Task,Resolved,Low,Shawn Bowman,Michael Terry,5,33,18
16-05-2024 14:28,dD-6700,Story,Open,Medium,Russell Green,Anthony Jones,3,57,18
14-05-2024 03:51,VJ-8409,Task,Open,High,Brenda Johnson,Katherine Ramos,7,35,18
17-05-2024 06:11,Mo-8775,Bug,Resolved,High,Christina Rosales,Adam Lewis,4,90,5
17-05-2024 02:36,lE-4478,Task,Open,High,Marissa Miller,Shawn Stevens,3,99,4
11-05-2024 15:57,Va-8818,Task,Closed,High,Renee Smith,Duane Steele,8,18,6
18-05-2024 02:54,Un-7773,Task,Closed,Medium,Gregory Thomas,Sara Chavez,2,24,20
14-05-2024 04:07,vn-0699,Story,Resolved,Low,Caleb Payne,Austin Brewer,5,84,18
13-05-2024 08:43,Ab-1409,Bug,Open,Medium,Joseph Hopkins,Pamela Wilson,10,99,9
09-05-2024 10:23,sD-0692,Story,Open,High,Tiffany Bond,Derrick Cook,2,74,9
16-05-2024 04:55,cS-5388,Task,Resolved,Medium,Caitlin Whitehead,Lisa Hamilton,2,84,12
18-05-2024 10:58,ct-2753,Story,Open,High,Jeremy Graves,Matthew Cook,4,59,19
15-05-2024 08:25,gP-0049,Bug,Resolved,High,Heather Cook,Brett Pierce,8,26,8
11-05-2024 14:38,nD-4158,Story,Open,High,Lawrence Ramos,Angela Wolf,10,37,13
09-05-2024 00:18,EB-1705,Story,In Progress,Medium,Leslie Howell,Carly Phillips,9,80,11
09-05-2024 03:45,OD-8852,Bug,Open,Low,Anne Johnson,Haley Maldonado,7,35,3
10-05-2024 06:15,NM-6727,Bug,Open,High,Eric Richards,Jose Romero,10,54,7
09-05-2024 13:08,jA-6007,Bug,Resolved,Medium,Jessica Weaver,Robert Norris,2,89,3
17-05-2024 12:21,Vs-4590,Bug,Closed,Medium,Elizabeth Wood,Renee Taylor,8,12,15
10-05-2024 08:22,Tf-6492,Task,Resolved,Low,Gloria Rangel,Kimberly Vega,2,8,4
09-05-2024 09:09,CR-8989,Bug,In Progress,Low,David Powell,Michael Barnes,10,31,0
12-05-2024 12:50,XR-5302,Task,In Progress,Medium,Christina White,Alexis Murray,7,62,8
12-05-2024 17:25,wQ-8915,Story,Open,Medium,Matthew Massey,Manuel Edwards,2,61,14
10-05-2024 23:24,SG-0757,Task,Open,High,Denise Dyer,April Petersen,8,9,9
15-05-2024 01:30,kX-8738,Story,Resolved,Medium,Jason Burns,Christopher Jones,2,86,6
10-05-2024 13:07,Ag-9145,Story,In Progress,Low,Brandon Collins,April Davis,3,65,11
13-05-2024 16:27,iR-9426,Bug,Open,Medium,Kimberly Fisher,Lauren Johnson,1,42,1
16-05-2024 09:36,zh-6145,Bug,Closed,Medium,Charles Bender,Kimberly Flowers,4,36,4
17-05-2024 02:18,gq-1560,Bug,In Progress,High,William Chandler,Daniel Butler,7,25,11
17-05-2024 12:44,Ed-1830,Task,Resolved,Medium,Nicole Hall,Kayla Williams,2,46,1
15-05-2024 18:04,Be-9271,Bug,Open,Medium,Mariah Taylor,Stephen Lewis,4,70,2
11-05-2024 23:12,ZD-7748,Task,Open,High,Jeremy Jones,Ryan Allen,1,73,4
18-05-2024 06:14,oE-1249,Bug,In Progress,Medium,James Turner,Michelle George,6,88,2
14-05-2024 02:09,ww-0904,Task,Resolved,Medium,Mike Mclaughlin,Casey Turner,1,71,5
11-05-2024 00:31,cK-4911,Task,Open,Low,Frederick Clay,Randall Powell,5,63,13
11-05-2024 14:37,wN-4656,Bug,Resolved,Medium,Jennifer Abbott,Dawn Brown,10,45,11
08-05-2024 17:37,Tt-9660,Story,In Progress,High,Lisa Anderson,Ricky Oliver,8,15,9
10-05-2024 18:26,MA-1778,Task,Open,Low,Barbara Reyes,Jared Howard,9,77,0
08-05-2024 21:09,mi-2171,Bug,Closed,High,Mr. Alex Martin DDS,Lauren Hall,4,63,8
13-05-2024 15:38,oA-8596,Task,Closed,Low,Patricia George,Andrea Patel,6,94,0
17-05-2024 17:27,Ut-3279,Story,Open,High,Misty Burton,Mary Brady,3,17,8
16-05-2024 09:18,NY-3391,Bug,Open,Medium,Tyler Swanson DDS,Ricardo Brown,2,73,15
16-05-2024 23:31,Qe-6293,Story,Closed,Low,Jessica Saunders,Christine Golden,7,50,4
16-05-2024 16:01,PH-2017,Task,Resolved,High,Melissa Nichols,Andrew Mata,10,35,13
10-05-2024 10:35,PJ-5180,Task,Resolved,Low,Donna Suarez,Manuel Ramirez,4,12,18
10-05-2024 15:34,Yb-8649,Task,Open,Low,Andrew Thomas,Daniel White,2,60,10
15-05-2024 04:29,Wi-9295,Bug,Open,Medium,Brenda Lopez,Janice Mora,7,74,15
13-05-2024 17:08,wu-9700,Task,Closed,High,James Ramirez,Barry Warren,2,57,18
14-05-2024 00:03,ve-1915,Bug,Closed,Medium,Cynthia Smith,Zachary Hartman,6,89,9
15-05-2024 22:35,OY-2505,Task,Closed,Low,Larry Fowler,Richard Delacruz,4,44,8
16-05-2024 16:20,iQ-3439,Bug,Closed,High,Chase Hill DVM,Daniel Short,2,71,10
09-05-2024 19:12,NZ-1507,Bug,In Progress,Low,Michelle Carr,Rebecca Bradford,4,8,12
17-05-2024 13:48,Tm-0227,Bug,Closed,High,John Hodges,Erin Price,9,55,6
14-05-2024 21:42,RE-1491,Story,Closed,High,Rebecca Russell,Travis Rangel,3,24,17
13-05-2024 20:38,Wk-8496,Bug,Closed,Low,Frederick Sutton,Larry Martin,7,6,14
18-05-2024 07:33,ZZ-0940,Story,Resolved,High,Patricia Clark,Brooke Russo,7,67,17
09-05-2024 12:06,al-4450,Story,In Progress,High,Michael Burton,Chad Booker,5,3,8
14-05-2024 16:41,wr-0877,Story,In Progress,High,John Parker,Marie Le,5,27,20
16-05-2024 09:34,li-7953,Story,Open,Medium,Molly Ortega,Amanda Schmidt,3,94,20
09-05-2024 19:23,qu-0108,Story,In Progress,Low,Joshua Vazquez,Casey Figueroa,10,10,5
10-05-2024 14:37,rO-7545,Bug,Closed,High,Jennifer Arroyo,Jacqueline Davidson,10,86,19
18-05-2024 12:59,Uh-6641,Task,Open,High,Paula Chambers,Laurie Cannon,6,51,5
10-05-2024 02:10,gP-4151,Story,Closed,Medium,Allen Murphy,Brian Lee,4,3,7
10-05-2024 20:03,Bb-5652,Bug,Resolved,Low,John Hopkins,Terry Smith,9,77,6
10-05-2024 05:07,ee-5215,Story,Open,Low,Tracey Castaneda,Brent Thompson,8,71,3
17-05-2024 07:13,aF-3739,Story,Open,Low,Sara Johnson,Shawn Smith,10,66,17
14-05-2024 04:34,Si-7576,Task,Open,High,Theresa Ford,Nicholas Pittman,9,56,15
15-05-2024 23:21,Rc-0471,Bug,Open,Low,Danielle Jones,Kelly Orozco,5,92,5
12-05-2024 02:29,IV-8436,Story,Resolved,Medium,Timothy Brown,Michael Phillips DDS,1,94,3
14-05-2024 21:01,yE-9314,Story,Resolved,Low,Paul Clark,Mark Rice,6,58,5
10-05-2024 23:16,uH-7086,Task,Resolved,Medium,Scott Walsh,Christine Smith,9,77,2
13-05-2024 19:46,zG-0472,Task,In Progress,High,Cynthia Barron,Joseph Smith,4,25,3
17-05-2024 00:27,tp-5307,Bug,Closed,Medium,Megan Kelley,Jasmine Wolfe,9,69,13
15-05-2024 02:10,dh-6135,Story,Closed,High,Richard Foley,Haley Brown,10,53,6
18-05-2024 16:18,eS-9739,Bug,Resolved,High,Mindy Schmidt,Mr. Anthony Miller,1,66,16
15-05-2024 18:03,fY-5143,Bug,Resolved,Medium,Brian Johnson,William Herring,3,91,18
16-05-2024 20:26,hm-1533,Bug,In Progress,High,Gregory Lewis,Eugene Norton,2,1,19
16-05-2024 11:40,HW-1053,Story,Resolved,Low,Nicholas Scott,Charles Cohen,8,13,10
17-05-2024 06:34,HE-7047,Bug,Closed,Low,Andrew Salinas,Kayla Williams,6,44,3
10-05-2024 21:21,pZ-1593,Bug,Closed,Medium,Amanda Martinez PhD,Kyle Decker,2,18,7
11-05-2024 11:53,Cy-9335,Task,Closed,High,Dean Williams,Kendra Cohen,10,70,12
13-05-2024 11:42,wN-2558,Task,Closed,Low,Brandi Travis,Jennifer Graham,10,5,20
13-05-2024 15:37,Zx-6232,Bug,Resolved,High,Isaiah Garcia,Sarah Ross,2,92,1
09-05-2024 03:01,ii-9245,Task,Closed,Low,Juan Hendrix,Tracy Baker,10,93,2
09-05-2024 07:16,lv-3173,Story,Closed,High,Randall Keller,Margaret Branch,8,14,17
12-05-2024 04:11,GB-9494,Task,Open,High,Randy Newman,Richard Thompson,3,66,16
11-05-2024 08:27,sL-9518,Story,Resolved,Medium,Michael Smith,Cody Fisher,10,84,4
15-05-2024 23:27,Jv-3389,Task,Closed,Medium,Donna Neal DDS,Richard Carlson,10,3,1
09-05-2024 09:34,Sw-8376,Task,Closed,Low,Sherry Castillo,Cindy Oliver,7,62,15
16-05-2024 00:32,Ok-5318,Bug,Open,Low,Julia Leblanc,Brandon Wall,8,75,11
17-05-2024 22:35,Yh-5002,Task,Closed,Low,Sarah Gray,Danielle Taylor,3,36,5
09-05-2024 07:01,Zc-0837,Story,In Progress,Low,Philip Simmons,Jesse Hansen,6,9,4
14-05-2024 22:12,tr-8709,Task,Resolved,Medium,Kelly Kennedy,John Robertson,7,44,3
13-05-2024 20:53,wd-8026,Task,In Progress,Medium,Sarah Richards,Michael Mccullough,5,20,10
15-05-2024 12:44,jz-3262,Task,In Progress,Medium,Thomas Strickland,Chelsea Griffin,10,49,19
16-05-2024 06:07,aa-9336,Story,Resolved,Medium,Jennifer Welch,Dylan Maxwell,8,78,14
16-05-2024 03:32,Zz-8873,Task,Resolved,Low,Katie Lee,Alicia Perry,9,64,16
18-05-2024 10:45,Mu-7683,Task,Closed,Low,Jonathan Patel,Brian Ramirez,5,43,7
10-05-2024 03:04,kZ-6850,Story,Resolved,Medium,Christopher Henry,Holly Cameron,2,31,7
17-05-2024 23:05,dg-3451,Story,In Progress,High,Lucas Reid,Courtney Tucker,2,23,0
09-05-2024 00:39,oH-6665,Task,Open,Low,Stephanie Murray,Timothy Klein,5,16,18
08-05-2024 22:30,JF-7468,Bug,Closed,Medium,Cynthia Martinez,James Ball,6,3,7
13-05-2024 17:53,iU-9506,Story,Resolved,High,Cody Lam,Luis Mooney,5,42,20
11-05-2024 23:24,SK-7239,Story,Resolved,High,Steven Rocha,Regina Campbell,5,21,16
12-05-2024 16:13,Mv-2448,Task,Closed,Low,Kayla White,Matthew Smith,3,66,10
16-05-2024 07:00,AK-6061,Task,Resolved,High,Brittany Pearson,Erika Russell,1,96,9
18-05-2024 07:48,rg-3348,Story,Closed,Low,Ms. Paula Reese,Lisa Brown,3,58,12
11-05-2024 10:05,Nc-7355,Story,Resolved,Medium,Brad Schmitt,Robert Hernandez,9,67,12
10-05-2024 08:38,KE-9066,Bug,Resolved,High,Misty Schmidt,Erik Lewis Jr.,8,88,14
08-05-2024 20:41,Di-7554,Story,Open,Low,James Thompson,Shawn Payne,8,82,8
17-05-2024 23:16,El-1001,Story,In Progress,Low,Brian Lane,Laura Bennett,1,6,4
15-05-2024 05:15,eD-9605,Bug,Resolved,Low,April Brock,John Shepherd,3,76,6
16-05-2024 18:12,QE-3844,Bug,In Progress,Low,Willie Smith,Dennis Barrett,8,52,1
13-05-2024 15:32,Ww-2830,Story,In Progress,High,Jeffrey Rivera,Holly Baker,7,25,15
15-05-2024 03:57,Rr-9653,Bug,Closed,High,Eric Schmidt,Ariel Wall,4,79,0
14-05-2024 13:30,BC-2569,Story,Closed,Medium,Joshua Powell,Jason Smith,6,96,20
10-05-2024 05:06,Ig-6877,Story,Open,Low,Shane Mosley,Steven Yang,5,29,14
18-05-2024 09:05,Fk-9521,Story,In Progress,Low,Christina Shaw,Stephen Reese,5,17,10
16-05-2024 17:12,UZ-1992,Bug,In Progress,Medium,Charles Jensen,Lisa Fuller,3,56,7
17-05-2024 09:01,GS-0125,Bug,Resolved,Medium,Jeff Garcia,Linda Garza,4,88,8
12-05-2024 13:00,cV-1178,Story,Open,Medium,Joshua Yu,Martha Pham,9,94,7
10-05-2024 10:54,uf-2335,Story,Open,Medium,Mary Sherman,Jodi Garcia,1,16,3
12-05-2024 18:41,aD-5702,Story,Open,Medium,Natalie Andrews,Darlene Taylor,6,88,16
17-05-2024 22:33,Wa-9308,Bug,Closed,Low,Donald Garcia,Dustin Rodriguez,4,23,7
14-05-2024 07:02,nv-9164,Story,Closed,Medium,Russell Stewart,Stephanie Riggs,3,71,13
12-05-2024 08:28,en-3302,Bug,Open,Low,Harold Mckenzie,Ashley Alvarado,7,51,11
16-05-2024 20:59,Ba-7072,Story,Closed,Low,Gabrielle Kelly,Gregory Webb,10,90,18
17-05-2024 07:52,wC-7463,Task,Closed,Medium,Tracy Taylor,Christopher Arnold,3,68,5
15-05-2024 15:25,zc-5934,Task,Closed,Medium,Sophia Leblanc,Beverly Roberts,2,72,8
09-05-2024 09:47,FI-7902,Story,Resolved,High,Anna Taylor,Lisa Moore,8,43,16
14-05-2024 15:31,VX-3419,Bug,In Progress,High,Patricia Medina,Rachel Wyatt,4,62,1
